BS SIZE,d (mm),s (mm),d (± mm),s (± mm)
230,63.1,3.53,0.25,0.1
231,66.27,3.53,0.25,0.1
232,69.44,3.53,0.38,0.1
233,72.62,3.53,0.38,0.1
234,75.8,3.53,0.38,0.1
235,78.97,3.53,0.38,0.1
236,82.14,3.53,0.38,0.1
237,85.32,3.53,0.38,0.1
238,88.5,3.53,0.38,0.1
239,91.67,3.53,0.38,0.1
240,94.84,3.53,0.38,0.1
241,98.02,3.53,0.38,0.1
242,101.2,3.53,0.38,0.1
243,104.37,3.53,0.38,0.1
244,107.54,3.53,0.38,0.1
245,110.72,3.53,0.38,0.1
246,113.9,3.53,0.38,0.1
247,117.07,3.53,0.38,0.1
248,120.24,3.53,0.38,0.1
249,123.42,3.53,0.38,0.1
250,126.6,3.53,0.38,0.1
251,129.77,3.53,0.58,0.1
252,132.94,3.53,0.58,0.1
253,136.12,3.53,0.58,0.1
254,139.3,3.53,0.58,0.1
255,142.47,3.53,0.58,0.1
256,145.65,3.53,0.58,0.1
257,148.82,3.53,0.58,0.1
258,152,3.53,0.58,0.1
259,158.35,3.53,0.58,0.1
260,164.7,3.53,0.58,0.1
261,171.05,3.53,0.58,0.1
262,177.4,3.53,0.58,0.1
263,183.75,3.53,0.76,0.1
264,190.1,3.53,0.76,0.1
265,196.45,3.53,0.76,0.1
266,202.8,3.53,0.76,0.1
267,209.15,3.53,0.76,0.1
268,215.5,3.53,0.76,0.1
269,221.85,3.53,0.76,0.1
270,228.2,3.53,0.76,0.1
271,234.55,3.53,0.76,0.1
272,240.9,3.53,0.76,0.1
273,247.25,3.53,0.76,0.1
274,253.6,3.53,0.76,0.1
275,266.3,3.53,0.76,0.1
276,279,3.53,0.76,0.1
277,291.7,3.53,0.76,0.1
278,304.4,3.53,0.76,0.1
279,329.8,3.53,0.76,0.1
280,355.2,3.53,0.76,0.1
281,380.6,3.53,0.76,0.1
282,405.26,3.53,1.14,0.1
283,430.66,3.53,1.14,0.1
284,456.06,3.53,1.14,0.1
309,10.46,5.33,0.13,0.13
310,12.07,5.33,0.13,0.13
311,13.64,5.33,0.13,0.13
